,class,day,nswdemand,nswprice,period,transfer,vicdemand,vicprice
1070,2,0.442,0.456,0.042,0.894,0.667,0.498,0.003
1071,2,0.43,0.421,0.036,0.915,0.667,0.467,0.002
1072,2,0.556,0.468,0.048,0.936,0.667,0.447,0.003
1073,2,0.564,0.483,0.046,0.957,0.667,0.426,0.003
1074,1,0.42,0.496,0.09,0.979,0.667,0.537,0.006
1075,1,0.537,0.485,0.085,1.0,0.667,0.52,0.006
1076,1,0.584,0.473,0.088,0.0,0.833,0.501,0.006
1077,1,0.632,0.454,0.077,0.021,0.833,0.459,0.005
1078,1,0.55,0.419,0.082,0.043,0.833,0.52,0.005
1079,2,0.569,0.363,0.056,0.064,0.833,0.482,0.004
1080,2,0.567,0.312,0.046,0.085,0.833,0.443,0.003
1081,2,0.619,0.263,0.044,0.106,0.833,0.389,0.003
1082,2,0.692,0.216,0.036,0.128,0.833,0.343,0.002
1083,2,0.729,0.193,0.028,0.149,0.833,0.31,0.002
1084,2,0.734,0.177,0.029,0.17,0.833,0.291,0.002
1085,2,0.74,0.18,0.029,0.191,0.833,0.277,0.002
1086,2,0.779,0.205,0.043,0.213,0.833,0.294,0.003
1087,2,0.768,0.26,0.05,0.234,0.833,0.33,0.003
1088,1,0.704,0.355,0.068,0.255,0.833,0.403,0.004
1089,2,0.619,0.443,0.056,0.277,0.833,0.46,0.004
1090,2,0.568,0.459,0.03,0.298,0.833,0.476,0.002
1091,1,0.562,0.521,0.077,0.319,0.833,0.537,0.005
1092,1,0.517,0.549,0.088,0.34,0.833,0.576,0.006
1093,1,0.505,0.56,0.075,0.362,0.833,0.587,0.005
1094,1,0.488,0.604,0.09,0.383,0.833,0.591,0.006
1095,1,0.511,0.618,0.088,0.404,0.833,0.571,0.006
1096,1,0.569,0.602,0.087,0.426,0.833,0.549,0.006
1097,1,0.559,0.579,0.083,0.447,0.833,0.548,0.005
1098,1,0.523,0.565,0.087,0.468,0.833,0.54,0.006
1099,1,0.547,0.555,0.087,0.489,0.833,0.539,0.006
1100,2,0.551,0.54,0.058,0.511,0.833,0.516,0.004
1101,1,0.569,0.526,0.07,0.532,0.833,0.507,0.005
1102,1,0.549,0.516,0.071,0.553,0.833,0.509,0.005
1103,1,0.593,0.504,0.076,0.574,0.833,0.506,0.005
1104,2,0.525,0.492,0.051,0.596,0.833,0.492,0.003
1105,2,0.491,0.476,0.046,0.617,0.833,0.479,0.003
1106,2,0.477,0.464,0.044,0.638,0.833,0.468,0.003
1107,2,0.489,0.468,0.044,0.66,0.833,0.455,0.003
1108,2,0.487,0.473,0.044,0.681,0.833,0.445,0.003
1109,2,0.489,0.491,0.045,0.702,0.833,0.45,0.003
1110,2,0.482,0.499,0.048,0.723,0.833,0.469,0.003
1111,2,0.467,0.54,0.049,0.745,0.833,0.489,0.003
1112,1,0.446,0.585,0.071,0.766,0.833,0.526,0.005
1113,1,0.504,0.599,0.085,0.787,0.833,0.554,0.006
1114,1,0.461,0.57,0.06,0.809,0.833,0.537,0.004
1115,2,0.418,0.538,0.045,0.83,0.833,0.512,0.003
1116,2,0.455,0.511,0.054,0.851,0.833,0.483,0.004
1117,2,0.475,0.498,0.044,0.872,0.833,0.46,0.003
1118,2,0.489,0.46,0.044,0.894,0.833,0.419,0.003
1119,2,0.5,0.416,0.039,0.915,0.833,0.378,0.003
1120,2,0.639,0.471,0.057,0.936,0.833,0.367,0.004
1121,1,0.651,0.488,0.061,0.957,0.833,0.359,0.004
1122,1,0.591,0.496,0.085,0.979,0.833,0.444,0.006
1123,1,0.639,0.496,0.074,1.0,0.833,0.432,0.005
1124,1,0.678,0.464,0.077,0.0,1.0,0.406,0.005
1125,1,0.704,0.458,0.073,0.021,1.0,0.374,0.005
1126,1,0.595,0.42,0.075,0.043,1.0,0.421,0.005
1127,2,0.619,0.361,0.056,0.064,1.0,0.384,0.004
1128,2,0.663,0.298,0.048,0.085,1.0,0.338,0.003
1129,2,0.728,0.247,0.045,0.106,1.0,0.297,0.003
1130,2,0.736,0.201,0.036,0.128,1.0,0.25,0.002
1131,2,0.823,0.173,0.034,0.149,1.0,0.218,0.002
1132,2,0.842,0.148,0.037,0.17,1.0,0.194,0.002
1133,2,0.861,0.141,0.036,0.191,1.0,0.179,0.002
1134,2,0.84,0.155,0.028,0.213,1.0,0.171,0.002
1135,2,0.813,0.167,0.031,0.234,1.0,0.177,0.002
1136,2,0.829,0.205,0.033,0.255,1.0,0.184,0.002
1137,2,0.796,0.252,0.035,0.277,1.0,0.206,0.002
1138,2,0.822,0.293,0.042,0.298,1.0,0.201,0.002
1139,1,0.813,0.362,0.059,0.319,1.0,0.229,0.003
1140,1,0.795,0.411,0.073,0.34,1.0,0.265,0.004
1141,1,0.795,0.443,0.076,0.362,1.0,0.285,0.004
1142,1,0.786,0.477,0.086,0.383,1.0,0.301,0.005
1143,1,0.773,0.482,0.083,0.404,1.0,0.293,0.005
1144,1,0.789,0.466,0.071,0.426,1.0,0.284,0.004
1145,1,0.784,0.443,0.07,0.447,1.0,0.272,0.004
1146,1,0.76,0.415,0.057,0.468,1.0,0.263,0.003
1147,2,0.735,0.398,0.045,0.489,1.0,0.254,0.003
1148,2,0.76,0.38,0.044,0.511,1.0,0.242,0.003
1149,2,0.747,0.362,0.038,0.532,1.0,0.232,0.002
1150,2,0.757,0.347,0.034,0.553,1.0,0.224,0.002
1151,2,0.808,0.321,0.032,0.574,1.0,0.209,0.002
1152,2,0.786,0.312,0.033,0.596,1.0,0.198,0.002
1153,1,0.76,0.302,0.056,0.617,1.0,0.184,0.003
1154,2,0.794,0.294,0.041,0.638,1.0,0.18,0.003
1155,2,0.78,0.292,0.052,0.66,1.0,0.179,0.003
1156,2,0.731,0.288,0.041,0.681,1.0,0.176,0.003
1157,2,0.725,0.302,0.03,0.702,1.0,0.183,0.002
1158,2,0.757,0.309,0.032,0.723,1.0,0.189,0.002
1159,2,0.675,0.363,0.04,0.745,1.0,0.232,0.003
1160,1,0.596,0.453,0.054,0.766,1.0,0.279,0.004
1161,1,0.554,0.476,0.065,0.787,1.0,0.363,0.004
1162,2,0.558,0.45,0.05,0.809,1.0,0.357,0.003
1163,2,0.564,0.409,0.044,0.83,1.0,0.34,0.003
1164,2,0.608,0.39,0.04,0.851,1.0,0.319,0.003
1165,2,0.584,0.371,0.033,0.872,1.0,0.297,0.002
1166,2,0.603,0.351,0.038,0.894,1.0,0.276,0.002
1167,2,0.644,0.333,0.033,0.915,1.0,0.256,0.002
1168,2,0.652,0.355,0.042,0.936,1.0,0.245,0.003
1169,2,0.61,0.358,0.034,0.957,1.0,0.24,0.002
1170,2,0.496,0.363,0.049,0.979,1.0,0.331,0.003
1171,2,0.537,0.349,0.041,1.0,1.0,0.327,0.003
1172,1,0.579,0.324,0.056,0.0,0.0,0.3,0.004
1173,2,0.592,0.288,0.044,0.021,0.0,0.267,0.003
1174,2,0.564,0.255,0.045,0.043,0.0,0.316,0.003
1175,2,0.595,0.221,0.037,0.064,0.0,0.285,0.002
1176,2,0.649,0.182,0.04,0.085,0.0,0.235,0.003
1177,2,0.722,0.146,0.04,0.106,0.0,0.191,0.003
1178,2,0.767,0.117,0.038,0.128,0.0,0.161,0.002
1179,2,0.81,0.102,0.042,0.149,0.0,0.129,0.002
1180,2,0.828,0.085,0.031,0.17,0.0,0.108,0.002
1181,2,0.764,0.086,0.024,0.191,0.0,0.075,0.002
1182,2,0.803,0.097,0.021,0.213,0.0,0.067,0.001
1183,2,0.811,0.101,0.024,0.234,0.0,0.068,0.002
1184,2,0.848,0.124,0.024,0.255,0.0,0.063,0.002
1185,2,0.85,0.154,0.026,0.277,0.0,0.113,0.001
1186,2,0.854,0.176,0.028,0.298,0.0,0.03,0.001
1187,2,0.898,0.235,0.025,0.319,0.0,0.097,0.002
1188,2,0.866,0.287,0.028,0.34,0.0,0.127,0.002
1189,1,0.897,0.33,0.058,0.362,0.0,0.153,0.004
1190,1,0.924,0.365,0.058,0.383,0.0,0.166,0.003
1191,1,0.923,0.381,0.045,0.404,0.0,0.175,0.003
1192,1,0.897,0.374,0.046,0.426,0.0,0.177,0.003
1193,1,0.896,0.359,0.043,0.447,0.0,0.177,0.003
1194,1,0.921,0.345,0.04,0.468,0.0,0.182,0.003
1195,1,0.873,0.33,0.046,0.489,0.0,0.182,0.003
1196,1,0.861,0.32,0.05,0.511,0.0,0.189,0.003
1197,2,0.886,0.302,0.031,0.532,0.0,0.181,0.002
1198,2,0.834,0.283,0.039,0.553,0.0,0.174,0.002
1199,2,0.859,0.263,0.028,0.574,0.0,0.167,0.002
1200,2,0.85,0.247,0.027,0.596,0.0,0.169,0.002
1201,2,0.858,0.237,0.028,0.617,0.0,0.155,0.002
1202,2,0.823,0.232,0.031,0.638,0.0,0.146,0.002
1203,2,0.809,0.225,0.029,0.66,0.0,0.143,0.002
1204,2,0.768,0.22,0.03,0.681,0.0,0.151,0.002
1205,2,0.749,0.227,0.031,0.702,0.0,0.166,0.002
1206,2,0.703,0.237,0.032,0.723,0.0,0.184,0.002
1207,1,0.686,0.288,0.04,0.745,0.0,0.218,0.003
1208,1,0.69,0.372,0.054,0.766,0.0,0.269,0.004
1209,1,0.661,0.413,0.059,0.787,0.0,0.343,0.004
1210,1,0.651,0.394,0.048,0.809,0.0,0.347,0.003
1211,1,0.705,0.378,0.042,0.83,0.0,0.322,0.003
1212,1,0.719,0.36,0.041,0.851,0.0,0.306,0.003
1213,1,0.708,0.343,0.04,0.872,0.0,0.272,0.002
1214,2,0.745,0.317,0.036,0.894,0.0,0.244,0.002
1215,2,0.772,0.292,0.028,0.915,0.0,0.222,0.002
1216,2,0.839,0.316,0.034,0.936,0.0,0.222,0.001
1217,2,0.797,0.32,0.031,0.957,0.0,0.22,0.002
1218,1,0.761,0.326,0.049,0.979,0.0,0.303,0.003
1219,1,0.676,0.308,0.04,1.0,0.0,0.293,0.003
1220,1,0.682,0.298,0.076,0.0,0.167,0.268,0.004
1221,1,0.682,0.28,0.044,0.021,0.167,0.246,0.003
1222,1,0.668,0.259,0.051,0.043,0.167,0.295,0.003
1223,1,0.688,0.222,0.051,0.064,0.167,0.288,0.003
1224,1,0.754,0.194,0.044,0.085,0.167,0.247,0.003
1225,1,0.766,0.171,0.044,0.106,0.167,0.233,0.002
1226,1,0.81,0.148,0.044,0.128,0.167,0.18,0.002
1227,1,0.822,0.128,0.04,0.149,0.167,0.12,0.002
1228,1,0.832,0.116,0.046,0.17,0.167,0.102,0.002
1229,1,0.832,0.134,0.066,0.191,0.167,0.09,0.002
1230,1,0.832,0.167,0.045,0.213,0.167,0.102,0.002
1231,2,0.831,0.21,0.027,0.234,0.167,0.131,0.002
1232,1,0.81,0.3,0.059,0.255,0.167,0.189,0.003
1233,2,0.696,0.378,0.035,0.277,0.167,0.252,0.002
1234,2,0.581,0.388,0.024,0.298,0.167,0.294,0.002
1235,2,0.565,0.446,0.029,0.319,0.167,0.347,0.002
1236,2,0.482,0.479,0.04,0.34,0.167,0.394,0.003
1237,1,0.489,0.5,0.045,0.362,0.167,0.42,0.003
1238,1,0.536,0.545,0.064,0.383,0.167,0.441,0.005
1239,1,0.485,0.56,0.074,0.404,0.167,0.447,0.005
1240,1,0.492,0.552,0.078,0.426,0.167,0.446,0.005
1241,1,0.499,0.535,0.064,0.447,0.167,0.447,0.004
1242,1,0.49,0.525,0.087,0.468,0.167,0.461,0.006
1243,1,0.503,0.52,0.087,0.489,0.167,0.464,0.006
1244,1,0.502,0.516,0.085,0.511,0.167,0.462,0.006
1245,1,0.504,0.51,0.086,0.532,0.167,0.461,0.006
1246,1,0.484,0.504,0.087,0.553,0.167,0.473,0.006
1247,1,0.482,0.5,0.084,0.574,0.167,0.478,0.006
1248,1,0.462,0.494,0.083,0.596,0.167,0.476,0.005
1249,1,0.477,0.493,0.079,0.617,0.167,0.473,0.005
1250,1,0.501,0.481,0.082,0.638,0.167,0.471,0.006
1251,1,0.52,0.493,0.08,0.66,0.167,0.467,0.005
1252,1,0.539,0.49,0.079,0.681,0.167,0.467,0.005
1253,1,0.482,0.492,0.087,0.702,0.167,0.474,0.006
1254,1,0.436,0.503,0.069,0.723,0.167,0.485,0.005
1255,2,0.436,0.498,0.055,0.745,0.167,0.48,0.004
1256,1,0.464,0.557,0.066,0.766,0.167,0.476,0.004
1257,1,0.426,0.561,0.079,0.787,0.167,0.51,0.005
1258,2,0.428,0.52,0.049,0.809,0.167,0.496,0.003
1259,2,0.382,0.469,0.043,0.83,0.167,0.45,0.003
1260,2,0.411,0.454,0.043,0.851,0.167,0.407,0.003
1261,2,0.429,0.431,0.041,0.872,0.167,0.369,0.003
1262,2,0.431,0.4,0.039,0.894,0.167,0.333,0.003
1263,2,0.443,0.364,0.034,0.915,0.167,0.301,0.002
1264,2,0.56,0.402,0.041,0.936,0.167,0.28,0.003
1265,2,0.538,0.428,0.043,0.957,0.167,0.272,0.003
1266,1,0.493,0.443,0.085,0.979,0.167,0.374,0.006
1267,1,0.519,0.427,0.062,1.0,0.167,0.365,0.004
1268,1,0.555,0.437,0.081,0.0,0.333,0.321,0.005
1269,1,0.628,0.413,0.064,0.021,0.333,0.286,0.004
1270,1,0.571,0.384,0.065,0.043,0.333,0.332,0.004
1271,2,0.581,0.339,0.046,0.064,0.333,0.298,0.003
1272,2,0.6,0.282,0.041,0.085,0.333,0.251,0.003
1273,2,0.676,0.238,0.036,0.106,0.333,0.205,0.002
1274,2,0.662,0.186,0.03,0.128,0.333,0.164,0.002
1275,2,0.746,0.17,0.036,0.149,0.333,0.133,0.002
1276,2,0.81,0.164,0.044,0.17,0.333,0.12,0.003
1277,2,0.756,0.155,0.029,0.191,0.333,0.106,0.002
1278,2,0.782,0.182,0.041,0.213,0.333,0.117,0.003
1279,2,0.759,0.224,0.038,0.234,0.333,0.162,0.002
1280,1,0.736,0.314,0.068,0.255,0.333,0.203,0.004
1281,1,0.629,0.348,0.065,0.277,0.333,0.267,0.002
1282,2,0.48,0.358,0.033,0.298,0.333,0.304,0.002
1283,2,0.476,0.389,0.043,0.319,0.333,0.364,0.003
1284,2,0.448,0.472,0.048,0.34,0.333,0.411,0.003
1285,1,0.461,0.499,0.077,0.362,0.333,0.441,0.005
1286,1,0.491,0.551,0.088,0.383,0.333,0.456,0.006
1287,1,0.545,0.573,0.087,0.404,0.333,0.453,0.006
1288,1,0.554,0.565,0.085,0.426,0.333,0.457,0.006
1289,1,0.552,0.554,0.087,0.447,0.333,0.468,0.006
1290,1,0.512,0.55,0.087,0.468,0.333,0.468,0.006
1291,1,0.528,0.553,0.087,0.489,0.333,0.473,0.006
1292,1,0.547,0.552,0.087,0.511,0.333,0.468,0.006
1293,1,0.518,0.552,0.089,0.532,0.333,0.467,0.006
1294,1,0.547,0.551,0.088,0.553,0.333,0.475,0.006
1295,1,0.643,0.553,0.097,0.574,0.333,0.473,0.006
1296,1,0.639,0.55,0.107,0.596,0.333,0.466,0.007
1297,1,0.639,0.547,0.127,0.617,0.333,0.461,0.008
1298,1,0.683,0.543,0.117,0.638,0.333,0.449,0.008
1299,1,0.673,0.545,0.096,0.66,0.333,0.427,0.006
1300,1,0.616,0.543,0.092,0.681,0.333,0.453,0.006
1301,1,0.634,0.542,0.091,0.702,0.333,0.465,0.006
1302,1,0.536,0.533,0.089,0.723,0.333,0.481,0.006
1303,1,0.554,0.535,0.087,0.745,0.333,0.493,0.006
1304,2,0.568,0.553,0.051,0.766,0.333,0.491,0.003
1305,1,0.515,0.567,0.073,0.787,0.333,0.519,0.005
1306,2,0.45,0.529,0.043,0.809,0.333,0.494,0.003
1307,2,0.44,0.486,0.043,0.83,0.333,0.453,0.003
1308,2,0.455,0.46,0.044,0.851,0.333,0.409,0.003
1309,2,0.471,0.435,0.042,0.872,0.333,0.373,0.003
1310,2,0.483,0.394,0.038,0.894,0.333,0.335,0.003
1311,2,0.508,0.368,0.028,0.915,0.333,0.305,0.002
1312,2,0.625,0.407,0.042,0.936,0.333,0.287,0.003
1313,2,0.611,0.424,0.044,0.957,0.333,0.277,0.003
1314,1,0.576,0.436,0.088,0.979,0.333,0.369,0.006
1315,2,0.582,0.431,0.047,1.0,0.333,0.362,0.003
1316,2,0.631,0.419,0.048,0.0,0.5,0.324,0.003
1317,2,0.629,0.396,0.047,0.021,0.5,0.287,0.003
1318,2,0.554,0.366,0.047,0.043,0.5,0.329,0.003
1319,2,0.588,0.312,0.044,0.064,0.5,0.299,0.003
1320,2,0.639,0.261,0.035,0.085,0.5,0.245,0.002
1321,2,0.719,0.216,0.034,0.106,0.5,0.205,0.002
1322,2,0.747,0.176,0.025,0.128,0.5,0.161,0.002
1323,2,0.786,0.151,0.024,0.149,0.5,0.134,0.002
1324,2,0.802,0.141,0.026,0.17,0.5,0.115,0.002
1325,2,0.781,0.15,0.028,0.191,0.5,0.109,0.002
1326,2,0.828,0.177,0.034,0.213,0.5,0.122,0.002
1327,2,0.752,0.218,0.034,0.234,0.5,0.155,0.002
1328,2,0.698,0.299,0.043,0.255,0.5,0.213,0.003
1329,2,0.603,0.371,0.041,0.277,0.5,0.283,0.003
1330,2,0.581,0.385,0.028,0.298,0.5,0.318,0.002
1331,2,0.482,0.444,0.044,0.319,0.5,0.375,0.003
1332,2,0.47,0.482,0.053,0.34,0.5,0.419,0.004
1333,2,0.545,0.517,0.059,0.362,0.5,0.44,0.004
1334,1,0.579,0.573,0.087,0.383,0.5,0.454,0.006
1335,1,0.614,0.593,0.087,0.404,0.5,0.446,0.006
1336,1,0.666,0.582,0.087,0.426,0.5,0.441,0.006
1337,1,0.684,0.577,0.085,0.447,0.5,0.444,0.006
1338,1,0.629,0.578,0.089,0.468,0.5,0.449,0.006
1339,1,0.632,0.582,0.087,0.489,0.5,0.454,0.006
1340,1,0.673,0.579,0.123,0.511,0.5,0.446,0.008
1341,1,0.664,0.579,0.135,0.532,0.5,0.445,0.008
1342,1,0.639,0.58,0.15,0.553,0.5,0.452,0.01
1343,1,0.652,0.58,0.15,0.574,0.5,0.452,0.01
1344,1,0.643,0.58,0.15,0.596,0.5,0.45,0.01
1345,1,0.628,0.574,0.117,0.617,0.5,0.444,0.008
1346,1,0.628,0.569,0.087,0.638,0.5,0.443,0.006
1347,1,0.662,0.572,0.087,0.66,0.5,0.442,0.006
1348,1,0.632,0.566,0.087,0.681,0.5,0.445,0.006
1349,1,0.628,0.56,0.084,0.702,0.5,0.455,0.006
1350,2,0.568,0.541,0.063,0.723,0.5,0.469,0.004
1351,2,0.534,0.539,0.046,0.745,0.5,0.476,0.003
1352,2,0.498,0.565,0.056,0.766,0.5,0.483,0.004
1353,1,0.433,0.578,0.079,0.787,0.5,0.512,0.005
1354,2,0.335,0.536,0.053,0.809,0.5,0.502,0.004
1355,2,0.357,0.494,0.042,0.83,0.5,0.461,0.003
1356,2,0.357,0.462,0.043,0.851,0.5,0.417,0.003
1357,2,0.409,0.438,0.042,0.872,0.5,0.375,0.003
1358,2,0.458,0.407,0.041,0.894,0.5,0.346,0.003
1359,2,0.462,0.374,0.04,0.915,0.5,0.303,0.003
1360,2,0.545,0.412,0.044,0.936,0.5,0.298,0.003
1361,2,0.516,0.426,0.044,0.957,0.5,0.288,0.003
1362,1,0.457,0.437,0.086,0.979,0.5,0.376,0.006
1363,2,0.538,0.435,0.055,1.0,0.5,0.369,0.004
1364,2,0.541,0.42,0.044,0.0,0.667,0.33,0.003
1365,2,0.523,0.397,0.043,0.021,0.667,0.288,0.003
1366,2,0.47,0.36,0.044,0.043,0.667,0.335,0.003
1367,2,0.507,0.307,0.049,0.064,0.667,0.309,0.003
1368,2,0.53,0.256,0.034,0.085,0.667,0.258,0.002
1369,2,0.605,0.212,0.031,0.106,0.667,0.211,0.002
1370,2,0.625,0.179,0.031,0.128,0.667,0.169,0.002
1371,2,0.666,0.157,0.026,0.149,0.667,0.137,0.002
1372,2,0.668,0.146,0.035,0.17,0.667,0.115,0.002
1373,2,0.677,0.152,0.03,0.191,0.667,0.106,0.002
1374,2,0.67,0.181,0.034,0.213,0.667,0.119,0.002
1375,2,0.626,0.219,0.04,0.234,0.667,0.152,0.003
1376,2,0.627,0.299,0.046,0.255,0.667,0.222,0.003
1377,2,0.549,0.37,0.05,0.277,0.667,0.3,0.003
1378,2,0.579,0.382,0.047,0.298,0.667,0.343,0.003
1379,1,0.516,0.44,0.086,0.319,0.667,0.409,0.006
1380,1,0.478,0.483,0.09,0.34,0.667,0.462,0.006
1381,1,0.425,0.513,0.09,0.362,0.667,0.491,0.006
1382,1,0.389,0.575,0.092,0.383,0.667,0.501,0.006
1383,1,0.436,0.599,0.093,0.404,0.667,0.508,0.006
1384,1,0.454,0.599,0.093,0.426,0.667,0.512,0.006
1385,1,0.375,0.593,0.091,0.447,0.667,0.514,0.006
1386,1,0.414,0.595,0.091,0.468,0.667,0.516,0.006
1387,1,0.441,0.607,0.133,0.489,0.667,0.522,0.009
1388,1,0.45,0.612,0.138,0.511,0.667,0.519,0.009
1389,1,0.442,0.612,0.138,0.532,0.667,0.523,0.009
1390,1,0.393,0.616,0.15,0.553,0.667,0.536,0.01
1391,1,0.392,0.624,0.151,0.574,0.667,0.533,0.01
1392,1,0.452,0.623,0.173,0.596,0.667,0.53,0.012
1393,1,0.41,0.617,0.16,0.617,0.667,0.528,0.011
1394,1,0.413,0.618,0.197,0.638,0.667,0.53,0.013
1395,1,0.43,0.623,0.208,0.66,0.667,0.528,0.014
1396,1,0.452,0.619,0.15,0.681,0.667,0.534,0.01
1397,1,0.485,0.616,0.153,0.702,0.667,0.547,0.01
1398,1,0.485,0.597,0.137,0.723,0.667,0.561,0.009
1399,1,0.457,0.597,0.132,0.745,0.667,0.576,0.009
1400,1,0.455,0.606,0.127,0.766,0.667,0.578,0.009
1401,1,0.469,0.632,0.18,0.787,0.667,0.571,0.012
1402,2,0.507,0.592,0.084,0.809,0.667,0.531,0.006
1403,2,0.515,0.553,0.07,0.83,0.667,0.489,0.005
1404,2,0.468,0.519,0.05,0.851,0.667,0.446,0.003
1405,2,0.465,0.486,0.048,0.872,0.667,0.41,0.003
1406,2,0.453,0.44,0.043,0.894,0.667,0.365,0.003
1407,2,0.481,0.393,0.04,0.915,0.667,0.324,0.003
1408,2,0.582,0.427,0.073,0.936,0.667,0.301,0.005
1409,2,0.529,0.44,0.043,0.957,0.667,0.296,0.003
1410,2,0.449,0.446,0.068,0.979,0.667,0.388,0.005
1411,2,0.433,0.433,0.06,1.0,0.667,0.375,0.004
1412,2,0.462,0.409,0.052,0.0,0.833,0.321,0.004
1413,2,0.426,0.383,0.043,0.021,0.833,0.284,0.003
1414,2,0.377,0.342,0.044,0.043,0.833,0.322,0.003
1415,2,0.496,0.284,0.035,0.064,0.833,0.296,0.002
1416,2,0.545,0.234,0.029,0.085,0.833,0.243,0.002
1417,2,0.504,0.192,0.03,0.106,0.833,0.196,0.002
1418,2,0.601,0.158,0.027,0.128,0.833,0.153,0.002
1419,2,0.625,0.141,0.027,0.149,0.833,0.125,0.002
1420,2,0.677,0.132,0.022,0.17,0.833,0.105,0.001
1421,2,0.697,0.138,0.022,0.191,0.833,0.101,0.001
1422,2,0.651,0.165,0.027,0.213,0.833,0.113,0.002
1423,2,0.599,0.201,0.031,0.234,0.833,0.146,0.002
1424,2,0.572,0.283,0.044,0.255,0.833,0.215,0.003
1425,2,0.487,0.355,0.044,0.277,0.833,0.286,0.003
1426,2,0.428,0.372,0.018,0.298,0.833,0.329,0.002
1427,2,0.431,0.435,0.043,0.319,0.833,0.391,0.003
1428,2,0.449,0.486,0.061,0.34,0.833,0.439,0.004
1429,2,0.479,0.525,0.084,0.362,0.833,0.473,0.006
1430,1,0.451,0.585,0.087,0.383,0.833,0.485,0.006
1431,1,0.5,0.606,0.088,0.404,0.833,0.481,0.006
1432,1,0.421,0.605,0.153,0.426,0.833,0.479,0.01
1433,1,0.455,0.606,0.153,0.447,0.833,0.481,0.01
1434,1,0.443,0.612,0.136,0.468,0.833,0.485,0.009
1435,1,0.436,0.619,0.15,0.489,0.833,0.488,0.01
1436,1,0.496,0.616,0.15,0.511,0.833,0.48,0.01
1437,1,0.543,0.616,0.162,0.532,0.833,0.46,0.011
1438,1,0.507,0.61,0.154,0.553,0.833,0.471,0.011
1439,1,0.486,0.601,0.161,0.574,0.833,0.463,0.011
1440,1,0.55,0.595,0.167,0.596,0.833,0.455,0.011
1441,1,0.62,0.588,0.156,0.617,0.833,0.448,0.011
1442,1,0.593,0.58,0.146,0.638,0.833,0.44,0.01
1443,2,0.631,0.574,0.085,0.66,0.833,0.437,0.006
1444,1,0.604,0.569,0.15,0.681,0.833,0.442,0.01
1445,2,0.573,0.565,0.068,0.702,0.833,0.451,0.005
1446,2,0.56,0.545,0.072,0.723,0.833,0.477,0.005
1447,2,0.53,0.54,0.068,0.745,0.833,0.487,0.005
1448,2,0.538,0.553,0.075,0.766,0.833,0.499,0.005
1449,2,0.489,0.56,0.076,0.787,0.833,0.521,0.005
1450,2,0.432,0.522,0.045,0.809,0.833,0.495,0.003
1451,2,0.428,0.48,0.043,0.83,0.833,0.456,0.003
1452,2,0.449,0.453,0.042,0.851,0.833,0.414,0.003
1453,2,0.474,0.427,0.042,0.872,0.833,0.386,0.003
1454,2,0.537,0.389,0.041,0.894,0.833,0.337,0.003
1455,2,0.586,0.35,0.035,0.915,0.833,0.298,0.002
1456,2,0.575,0.401,0.06,0.936,0.833,0.287,0.004
1457,2,0.482,0.422,0.042,0.957,0.833,0.279,0.003
1458,2,0.491,0.444,0.075,0.979,0.833,0.382,0.005
1459,2,0.506,0.429,0.061,1.0,0.833,0.378,0.004
1460,2,0.503,0.396,0.051,0.0,1.0,0.34,0.003
1461,2,0.497,0.383,0.051,0.021,1.0,0.297,0.003
1462,2,0.446,0.342,0.044,0.043,1.0,0.334,0.003
1463,2,0.525,0.284,0.041,0.064,1.0,0.296,0.003
1464,2,0.566,0.23,0.039,0.085,1.0,0.247,0.003
1465,2,0.593,0.179,0.031,0.106,1.0,0.206,0.002
1466,2,0.693,0.142,0.029,0.128,1.0,0.155,0.002
1467,2,0.726,0.121,0.024,0.149,1.0,0.124,0.002
1468,2,0.745,0.102,0.026,0.17,1.0,0.096,0.002
1469,2,0.75,0.101,0.024,0.191,1.0,0.079,0.002
1470,2,0.78,0.107,0.025,0.213,1.0,0.075,0.002
1471,2,0.775,0.117,0.026,0.234,1.0,0.084,0.002
1472,2,0.746,0.152,0.027,0.255,1.0,0.107,0.002
1473,2,0.702,0.195,0.031,0.277,1.0,0.136,0.002
1474,2,0.716,0.231,0.032,0.298,1.0,0.154,0.002
1475,2,0.675,0.287,0.041,0.319,1.0,0.193,0.003
1476,2,0.665,0.333,0.043,0.34,1.0,0.228,0.003
1477,2,0.638,0.365,0.044,0.362,1.0,0.256,0.003
1478,2,0.63,0.409,0.06,0.383,1.0,0.281,0.004
1479,2,0.651,0.418,0.058,0.404,1.0,0.28,0.004
1480,2,0.642,0.406,0.05,0.426,1.0,0.277,0.003
1481,2,0.682,0.399,0.046,0.447,1.0,0.267,0.003
1482,2,0.711,0.391,0.048,0.468,1.0,0.258,0.003
1483,2,0.709,0.386,0.047,0.489,1.0,0.258,0.003
1484,2,0.704,0.384,0.045,0.511,1.0,0.248,0.003
1485,2,0.69,0.376,0.04,0.532,1.0,0.234,0.003
1486,2,0.689,0.369,0.037,0.553,1.0,0.221,0.002
1487,2,0.668,0.363,0.041,0.574,1.0,0.214,0.003
1488,2,0.679,0.363,0.041,0.596,1.0,0.204,0.003
1489,2,0.698,0.36,0.04,0.617,1.0,0.194,0.003
1490,2,0.728,0.354,0.038,0.638,1.0,0.189,0.002
1491,2,0.679,0.355,0.038,0.66,1.0,0.194,0.003
1492,2,0.69,0.353,0.037,0.681,1.0,0.204,0.002
